show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0168,Movie,Sample Movie 168,Director 45,"Actor A, Actor B, Actor C",India,"October 14, 2015",1988,R,178 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0169,Movie,Sample Movie 169,Director 19,"Actor A, Actor B, Actor C",France,"August 23, 2021",2003,G,118 min,Thriller,This is a sample movie description used for academic purposes.
s0170,Movie,Sample Movie 170,Director 40,"Actor A, Actor B, Actor C",United Kingdom,"January 05, 2015",2001,G,120 min,Comedy,This is a sample movie description used for academic purposes.
s0171,Movie,Sample Movie 171,Director 32,"Actor A, Actor B, Actor C",Brazil,"January 03, 2018",2024,R,157 min,Drama,This is a sample movie description used for academic purposes.
s0172,Movie,Sample Movie 172,Director 10,"Actor A, Actor B, Actor C",France,"March 12, 2019",1997,R,85 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0173,Movie,Sample Movie 173,Director 22,"Actor A, Actor B, Actor C",United States,"October 04, 2015",2002,R,87 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0174,Movie,Sample Movie 174,Director 30,"Actor A, Actor B, Actor C",India,"January 06, 2019",2007,R,158 min,Documentary,This is a sample movie description used for academic purposes.
s0175,Movie,Sample Movie 175,Director 46,"Actor A, Actor B, Actor C",Canada,"December 05, 2021",2018,PG,113 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0176,Movie,Sample Movie 176,Director 14,"Actor A, Actor B, Actor C",India,"September 05, 2020",2023,TV-14,138 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0177,Movie,Sample Movie 177,Director 1,"Actor A, Actor B, Actor C",Canada,"March 13, 2024",2012,G,120 min,Thriller,This is a sample movie description used for academic purposes.
s0178,Movie,Sample Movie 178,Director 40,"Actor A, Actor B, Actor C",France,"October 27, 2021",1981,PG-13,162 min,Comedy,This is a sample movie description used for academic purposes.
s0179,Movie,Sample Movie 179,Director 26,"Actor A, Actor B, Actor C",Spain,"July 01, 2022",2007,R,162 min,Thriller,This is a sample movie description used for academic purposes.
s0180,Movie,Sample Movie 180,Director 38,"Actor A, Actor B, Actor C",Brazil,"October 19, 2016",1989,G,175 min,Action,This is a sample movie description used for academic purposes.
s0181,Movie,Sample Movie 181,Director 5,"Actor A, Actor B, Actor C",United States,"August 13, 2017",2007,TV-14,164 min,Sci-Fi,This is a sample movie description used for academic purposes.
s0182,Movie,Sample Movie 182,Director 31,"Actor A, Actor B, Actor C",United Kingdom,"June 27, 2021",1981,TV-14,110 min,Comedy,This is a sample movie description used for academic purposes.
s0183,Movie,Sample Movie 183,Director 12,"Actor A, Actor B, Actor C",India,"December 03, 2020",1993,PG,163 min,Comedy,This is a sample movie description used for academic purposes.
s0184,Movie,Sample Movie 184,Director 15,"Actor A, Actor B, Actor C",United States,"June 20, 2019",1981,TV-14,177 min,Documentary,This is a sample movie description used for academic purposes.
s0185,Movie,Sample Movie 185,Director 25,"Actor A, Actor B, Actor C",Brazil,"December 20, 2015",2000,PG-13,89 min,Documentary,This is a sample movie description used for academic purposes.
s0186,Movie,Sample Movie 186,Director 41,"Actor A, Actor B, Actor C",United States,"January 06, 2024",2002,PG,104 min,Drama,This is a sample movie description used for academic purposes.
s0187,Movie,Sample Movie 187,Director 28,"Actor A, Actor B, Actor C",Canada,"January 03, 2015",2003,R,115 min,Documentary,This is a sample movie description used for academic purposes.
s0188,Movie,Sample Movie 188,Director 40,"Actor A, Actor B, Actor C",India,"June 20, 2024",2002,PG-13,84 min,Thriller,This is a sample movie description used for academic purposes.
s0189,Movie,Sample Movie 189,Director 21,"Actor A, Actor B, Actor C",Brazil,"May 04, 2017",2004,G,179 min,Documentary,This is a sample movie description used for academic purposes.
s0190,Movie,Sample Movie 190,Director 5,"Actor A, Actor B, Actor C",Spain,"September 05, 2017",2017,PG-13,85 min,Romance,This is a sample movie description used for academic purposes.
s0191,Movie,Sample Movie 191,Director 26,"Actor A, Actor B, Actor C",India,"July 12, 2016",2015,R,138 min,Thriller,This is a sample movie description used for academic purposes.
s0192,Movie,Sample Movie 192,Director 34,"Actor A, Actor B, Actor C",Spain,"August 11, 2020",2007,PG,80 min,Romance,This is a sample movie description used for academic purposes.
s0193,Movie,Sample Movie 193,Director 35,"Actor A, Actor B, Actor C",Canada,"August 05, 2015",1998,TV-14,151 min,Action,This is a sample movie description used for academic purposes.
s0194,Movie,Sample Movie 194,Director 19,"Actor A, Actor B, Actor C",Brazil,"August 18, 2021",2006,TV-14,165 min,Comedy,This is a sample movie description used for academic purposes.
s0195,Movie,Sample Movie 195,Director 5,"Actor A, Actor B, Actor C",Brazil,"May 15, 2015",2013,PG-13,160 min,Drama,This is a sample movie description used for academic purposes.
s0196,Movie,Sample Movie 196,Director 22,"Actor A, Actor B, Actor C",Germany,"February 15, 2020",1993,G,122 min,Action,This is a sample movie description used for academic purposes.
s0197,Movie,Sample Movie 197,Director 40,"Actor A, Actor B, Actor C",Germany,"June 27, 2016",2011,PG-13,173 min,Romance,This is a sample movie description used for academic purposes.
s0198,Movie,Sample Movie 198,Director 8,"Actor A, Actor B, Actor C",India,"December 07, 2023",1989,TV-14,129 min,Romance,This is a sample movie description used for academic purposes.
s0199,Movie,Sample Movie 199,Director 6,"Actor A, Actor B, Actor C",United Kingdom,"May 15, 2021",1982,R,143 min,Documentary,This is a sample movie description used for academic purposes.
s0200,Movie,Sample Movie 200,Director 21,"Actor A, Actor B, Actor C",Germany,"February 28, 2022",1984,PG-13,134 min,Romance,This is a sample movie description used for academic purposes.
